capitulo;cap_fx;cap_nm;grupo;grp_nm;categoria;cat_nm;subcategoria;subcat_nm
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A19;Tuberculose;A199;A19.9 Tuberc miliar NE
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A20;Algumas doenças bacterianas zoonóticas;A200;A20.0 Peste bubonica
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A20;Algumas doenças bacterianas zoonóticas;A201;A20.1 Peste celulocutanea
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A20;Algumas doenças bacterianas zoonóticas;A202;A20.2 Peste pneumonica
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A20;Algumas doenças bacterianas zoonóticas;A203;A20.3 Peste meningea
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A20;Algumas doenças bacterianas zoonóticas;A207;A20.7 Peste septicemica
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A20;Algumas doenças bacterianas zoonóticas;A208;A20.8 Outr form de peste
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A20;Algumas doenças bacterianas zoonóticas;A209;A20.9 Peste form NE
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A21;Algumas doenças bacterianas zoonóticas;A210;A21.0 Tularemia ulceroglandular
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A21;Algumas doenças bacterianas zoonóticas;A211;A21.1 Tularemia oculoglandular
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A21;Algumas doenças bacterianas zoonóticas;A212;A21.2 Tularemia pulmonar
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A21;Algumas doenças bacterianas zoonóticas;A213;A21.3 Tularemia gastrointestinal
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A21;Algumas doenças bacterianas zoonóticas;A217;A21.7 Tularemia generalizada
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A21;Algumas doenças bacterianas zoonóticas;A218;A21.8 Outr form de tularemia
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A21;Algumas doenças bacterianas zoonóticas;A219;A21.9 Tularemia form NE
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A22;Algumas doenças bacterianas zoonóticas;A220;A22.0 Carbunculo cutaneo
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A22;Algumas doenças bacterianas zoonóticas;A221;A22.1 Carbunculo pulmonar
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A22;Algumas doenças bacterianas zoonóticas;A222;A22.2 Carbunculo gastrointestinal
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A22;Algumas doenças bacterianas zoonóticas;A227;A22.7 Septicemia carbunculosa
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A22;Algumas doenças bacterianas zoonóticas;A228;A22.8 Outr form de carbunculo
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A22;Algumas doenças bacterianas zoonóticas;A229;A22.9 Carbunculo form NE
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A23;Algumas doenças bacterianas zoonóticas;A230;A23.0 Brucelose p/Brucella melitensis
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A23;Algumas doenças bacterianas zoonóticas;A231;A23.1 Brucelose p/Brucella abortus
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A23;Algumas doenças bacterianas zoonóticas;A232;A23.2 Brucelose p/Brucella suis
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A23;Algumas doenças bacterianas zoonóticas;A233;A23.3 Brucelose p/Brucella canis
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A23;Algumas doenças bacterianas zoonóticas;A238;A23.8 Outr bruceloses
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A23;Algumas doenças bacterianas zoonóticas;A239;A23.9 Brucelose NE
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A24;Algumas doenças bacterianas zoonóticas;A240;A24.0 Mormo
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A24;Algumas doenças bacterianas zoonóticas;A241;A24.1 Melioidose aguda e fulminante
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A24;Algumas doenças bacterianas zoonóticas;A242;A24.2 Melioidose subaguda e cronica
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A24;Algumas doenças bacterianas zoonóticas;A243;A24.3 Outr melioidoses
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A24;Algumas doenças bacterianas zoonóticas;A244;A24.4 Melioidose NE
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A25;Algumas doenças bacterianas zoonóticas;A250;A25.0 Espirilose
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A25;Algumas doenças bacterianas zoonóticas;A251;A25.1 Estreptobacilose
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A25;Algumas doenças bacterianas zoonóticas;A259;A25.9 Febre transm p/mordedura de rato tipo NE
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A26;Algumas doenças bacterianas zoonóticas;A260;A26.0 Erisipeloide cutaneo
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A26;Algumas doenças bacterianas zoonóticas;A267;A26.7 Septicemia p/Erysipelothrix
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A26;Algumas doenças bacterianas zoonóticas;A268;A26.8 Outr form de erisipeloide
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A26;Algumas doenças bacterianas zoonóticas;A269;A26.9 Erisipeloide NE
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A27;Algumas doenças bacterianas zoonóticas;A270;A27.0 Leptopirose icterohemorragica
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A27;Algumas doenças bacterianas zoonóticas;A278;A27.8 Outr form de leptospirose
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A27;Algumas doenças bacterianas zoonóticas;A279;A27.9 Leptospirose NE
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A28;Algumas doenças bacterianas zoonóticas;A280;A28.0 Pasteurelose
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A28;Algumas doenças bacterianas zoonóticas;A281;A28.1 Doenc p/arranhadura do gato
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A28;Algumas doenças bacterianas zoonóticas;A282;A28.2 Yersiniose extra-intestinal
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A28;Algumas doenças bacterianas zoonóticas;A288;A28.8 Outr doenc bacter zoonoticas espec NCOP
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A20-A28;Algumas doenças bacterianas zoonóticas;A28;Algumas doenças bacterianas zoonóticas;A289;A28.9 Doenc bacter zoonotica NE
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A30-A49;Outras doenças bacterianas;A30;Outras doenças bacterianas;A300;A30.0 Hanseniase indeterminada
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A30-A49;Outras doenças bacterianas;A30;Outras doenças bacterianas;A301;A30.1 Hanseniase tuberculoide
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A30-A49;Outras doenças bacterianas;A30;Outras doenças bacterianas;A302;A30.2 Hanseniase tuberculoide borderline
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A30-A49;Outras doenças bacterianas;A30;Outras doenças bacterianas;A303;A30.3 Hanseniase dimorfa
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A30-A49;Outras doenças bacterianas;A30;Outras doenças bacterianas;A304;A30.4 Hanseniase lepromatosa borderline
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A30-A49;Outras doenças bacterianas;A30;Outras doenças bacterianas;A305;A30.5 Hanseniase lepromatosa
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A30-A49;Outras doenças bacterianas;A30;Outras doenças bacterianas;A308;A30.8 Outr form de hanseniase
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A30-A49;Outras doenças bacterianas;A30;Outras doenças bacterianas;A309;A30.9 Hanseniase NE
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A30-A49;Outras doenças bacterianas;A31;Outras doenças bacterianas;A310;A31.0 Infecc pulmonar micobacteriana
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A30-A49;Outras doenças bacterianas;A31;Outras doenças bacterianas;A311;A31.1 Infecc cutanea micobacteriana
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A30-A49;Outras doenças bacterianas;A31;Outras doenças bacterianas;A318;A31.8 Outr infecc micobacterianas
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A30-A49;Outras doenças bacterianas;A31;Outras doenças bacterianas;A319;A31.9 Infecc micobacteriana NE
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A30-A49;Outras doenças bacterianas;A32;Outras doenças bacterianas;A320;A32.0 Listeriose cutanea
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A30-A49;Outras doenças bacterianas;A32;Outras doenças bacterianas;A321;A32.1 Meningite e meningoencefalite p/listeria
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A30-A49;Outras doenças bacterianas;A32;Outras doenças bacterianas;A327;A32.7 Septicemia listeriotica
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A30-A49;Outras doenças bacterianas;A32;Outras doenças bacterianas;A328;A32.8 Outr form de listeriose
